CUPS;Fecha;Hora;AE_kWh;REAL/ESTIMADO
ES0031405256532001ME0F;08/09/2020;3;0,014;R
ES0031405256532001ME0F;08/09/2020;4;0,013;R
ES0031405256532001ME0F;08/09/2020;5;0,014;R
ES0031405256532001ME0F;08/09/2020;6;0,014;R
ES0031405256532001ME0F;08/09/2020;7;0,013;R
ES0031405256532001ME0F;08/09/2020;8;0,04;R
ES0031405256532001ME0F;08/09/2020;9;0,031;R
ES0031405256532001ME0F;08/09/2020;10;0,021;R
ES0031405256532001ME0F;08/09/2020;11;0,069;R
ES0031405256532001ME0F;08/09/2020;12;0,155;R
ES0031405256532001ME0F;08/09/2020;13;0,063;R
ES0031405256532001ME0F;08/09/2020;14;0,149;R
ES0031405256532001ME0F;08/09/2020;15;0,03;R
ES0031405256532001ME0F;08/09/2020;16;0,026;R
ES0031405256532001ME0F;08/09/2020;17;0,032;R
ES0031405256532001ME0F;08/09/2020;18;0,125;R
ES0031405256532001ME0F;08/09/2020;19;0,046;R
ES0031405256532001ME0F;08/09/2020;20;0,045;R
ES0031405256532001ME0F;08/09/2020;21;0,111;R
ES0031405256532001ME0F;08/09/2020;22;0,112;R
ES0031405256532001ME0F;08/09/2020;23;0,057;R
ES0031405256532001ME0F;08/09/2020;24;0,058;R
ES0031405256532001ME0F;09/09/2020;1;0,04;R
ES0031405256532001ME0F;09/09/2020;2;0,084;R
ES0031405256532001ME0F;09/09/2020;3;0,076;R
ES0031405256532001ME0F;09/09/2020;4;0,028;R
ES0031405256532001ME0F;09/09/2020;5;0,016;R
ES0031405256532001ME0F;09/09/2020;6;0,015;R
ES0031405256532001ME0F;09/09/2020;7;0,016;R
ES0031405256532001ME0F;09/09/2020;8;0,072;R
ES0031405256532001ME0F;09/09/2020;9;0,138;R
ES0031405256532001ME0F;09/09/2020;10;0,116;R
ES0031405256532001ME0F;09/09/2020;11;0,097;R
ES0031405256532001ME0F;09/09/2020;12;0,155;R
ES0031405256532001ME0F;09/09/2020;13;0,143;R
ES0031405256532001ME0F;09/09/2020;14;0,112;R
ES0031405256532001ME0F;09/09/2020;15;0,088;R
ES0031405256532001ME0F;09/09/2020;16;0,157;R
ES0031405256532001ME0F;09/09/2020;17;0,194;R
ES0031405256532001ME0F;09/09/2020;18;0,136;R
ES0031405256532001ME0F;09/09/2020;19;0,126;R
ES0031405256532001ME0F;09/09/2020;20;0,126;R
ES0031405256532001ME0F;09/09/2020;21;0,184;R
ES0031405256532001ME0F;09/09/2020;22;1,405;R
ES0031405256532001ME0F;09/09/2020;23;0,14;R
ES0031405256532001ME0F;09/09/2020;24;0,171;R
ES0031405256532001ME0F;10/09/2020;1;0,144;R
ES0031405256532001ME0F;10/09/2020;2;0,118;R
ES0031405256532001ME0F;10/09/2020;3;0,07;R
ES0031405256532001ME0F;10/09/2020;4;0,034;R
ES0031405256532001ME0F;10/09/2020;5;0,061;R
ES0031405256532001ME0F;10/09/2020;6;0,046;R
ES0031405256532001ME0F;10/09/2020;7;0,068;R
ES0031405256532001ME0F;10/09/2020;8;0,048;R
ES0031405256532001ME0F;10/09/2020;9;0,067;R
ES0031405256532001ME0F;10/09/2020;10;0,172;R
ES0031405256532001ME0F;10/09/2020;11;0,129;R
ES0031405256532001ME0F;10/09/2020;12;0,13;R
ES0031405256532001ME0F;10/09/2020;13;0,097;R
ES0031405256532001ME0F;10/09/2020;14;0,182;R
